Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not_Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,TotalIncomeLog,LoanAmountLog,Credit_History,Loan_Status
0,1,1,0,1,0,1,0,0,0,1,8.0106915391303,3.8501476017100584,1.0,1
0,1,0,1,1,0,1,0,0,0,1,7.783224016336037,4.31748811353631,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.744647438317532,4.897839799950911,1.0,1
0,1,0,1,0,1,0,1,0,0,1,8.454253391642363,4.564348191467836,1.0,1
1,0,1,0,1,0,1,0,0,0,1,8.134467570277563,4.477336814478207,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.639233817325263,3.784189633918261,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.669227347271736,4.969813299576001,1.0,1
1,0,0,1,1,0,1,0,0,0,1,8.713582005421628,4.787491742782046,0.0,0
1,0,1,0,1,0,1,0,0,1,0,8.744328763999984,4.969813299576001,1.0,1
1,0,0,1,0,1,1,0,0,1,0,8.18088094199639,4.605170185988092,1.0,1
1,0,1,0,1,0,1,0,0,1,0,8.034631032923107,4.787491742782046,1.0,1
1,0,1,0,1,0,1,0,0,1,0,8.349957272040324,4.718498871295094,1.0,0
0,1,0,1,1,0,1,0,0,0,1,8.437283808187935,4.897839799950911,1.0,0
1,0,0,1,1,0,0,1,0,0,1,9.350102314351341,5.655991810819852,0.0,0
0,1,0,1,1,0,1,0,0,1,0,8.262300941787448,4.574710978503383,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.222285073872717,4.564348191467836,1.0,1
0,1,0,1,1,0,1,0,1,0,0,8.624431942085836,4.90527477843843,1.0,0
0,1,0,1,1,0,1,0,0,0,1,9.242807562113684,5.19295685089021,1.0,1
0,1,0,1,0,1,1,0,0,0,1,8.734881892047483,4.969813299576001,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.74766979009724,4.787491742782046,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.015987811027237,4.59511985013459,1.0,1
0,1,0,1,0,1,0,1,1,0,0,8.709134991587183,5.10594547390058,0.0,0
0,1,0,1,1,0,1,0,1,0,0,8.506132244056813,5.062595033026967,0.0,0
1,0,1,0,1,0,1,0,0,1,0,8.334711621820917,4.7535901911063645,0.0,0
0,1,0,1,1,0,1,0,0,1,0,9.241935933565934,5.552959584921617,1.0,0
0,1,1,0,0,1,1,0,0,0,1,8.604104563405533,4.836281906951478,0.0,0
0,1,0,1,1,0,1,0,0,0,1,9.28266103355581,5.7430031878094825,1.0,1
0,1,0,1,0,1,0,1,0,0,1,8.867850063029406,4.8283137373023015,1.0,1
1,0,1,0,1,0,1,0,0,1,0,8.366370301681654,4.912654885736052,0.0,0
0,1,0,1,1,0,1,0,0,0,1,8.744169388750624,5.147494476813453,1.0,1
0,1,0,1,0,1,0,1,0,1,0,8.229511118964457,4.574710978503383,1.0,1
0,1,1,0,1,0,1,0,0,1,0,8.160518247477505,4.394449154672439,1.0,1
0,1,0,1,0,1,1,0,0,1,0,8.46695197497949,4.553876891600541,0.0,0
0,1,0,1,1,0,0,1,0,1,0,8.859363449152088,5.231108616854587,1.0,1
0,1,1,0,1,0,1,0,0,0,1,8.229511118964457,4.727387818712341,1.0,0
0,1,1,0,1,0,1,0,0,0,1,9.047821442478408,5.170483995038151,1.0,0
0,1,0,1,1,0,0,1,0,0,1,8.299534570332597,4.700480365792417,1.0,0
0,1,0,1,1,0,1,0,0,1,0,8.877242435993919,5.19295685089021,0.0,0
0,1,0,1,0,1,0,1,0,1,0,8.612321536507814,4.867534450455582,1.0,1
1,0,1,0,1,0,1,0,0,1,0,8.254788926148725,4.709530201312334,1.0,1
0,1,0,1,1,0,0,1,0,1,0,7.781138509845015,5.062595033026967,1.0,1
1,0,0,1,1,0,1,0,0,0,1,8.089175678837561,5.117993812416755,1.0,0
0,1,0,1,1,0,1,0,0,1,0,9.017968479328726,5.579729825986222,1.0,0
0,1,0,1,1,0,1,0,0,0,1,8.291045131081729,3.912023005428146,1.0,1
0,1,1,0,1,0,1,0,0,1,0,8.496378051702317,4.912654885736052,1.0,1
0,1,0,1,0,1,1,0,0,1,0,8.581669210600602,4.59511985013459,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.43771698991444,4.6443908991413725,1.0,1
0,1,1,0,1,0,1,0,0,0,1,9.055556158175316,5.3471075307174685,1.0,1
0,1,0,1,1,0,1,0,0,1,0,9.196444266784072,5.1647859739235145,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.675563527387679,4.875197323201151,1.0,1
0,1,0,1,1,0,1,0,0,1,0,9.384629757072872,5.236441962829949,1.0,1
0,1,0,1,0,1,1,0,0,0,1,8.535622326884605,4.394449154672439,1.0,1
0,1,1,0,1,0,1,0,0,1,0,8.326758814511733,4.804021044733257,1.0,1
0,1,1,0,0,1,1,0,0,1,0,8.194229304819817,3.2188758248682006,1.0,1
0,1,1,0,1,0,1,0,0,0,1,8.822027322685583,5.062595033026967,1.0,0
1,0,0,1,1,0,1,0,0,1,0,8.47345026846832,4.919980925828125,1.0,1
0,1,0,1,1,0,1,0,0,1,0,7.9976631270201,3.912023005428146,1.0,1
0,1,0,1,0,1,1,0,0,1,0,8.339978571990427,4.74493212836325,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.575462099540212,4.875197323201151,1.0,1
0,1,0,1,0,1,1,0,0,0,1,8.929435283803425,4.890349128221754,1.0,1
0,1,1,0,1,0,1,0,0,1,0,9.065198986306513,5.017279836814924,1.0,1
0,1,0,1,1,0,1,0,0,0,1,9.521494800613105,5.062595033026967,1.0,1
0,1,0,1,1,0,1,0,0,1,0,9.016148642611741,5.062595033026967,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.31434234336979,4.605170185988092,1.0,1
0,1,0,1,1,0,1,0,0,0,1,9.436918020024674,5.41610040220442,1.0,1
0,1,1,0,0,1,1,0,1,0,0,8.9001399880938,4.787491742782046,1.0,0
0,1,0,1,1,0,1,0,0,0,1,8.909235279192261,5.375278407684165,0.0,0
0,1,0,1,0,1,1,0,0,1,0,7.946263643580541,4.543294782270004,1.0,1
0,1,1,0,1,0,1,0,0,0,1,8.578476419833136,4.912654885736052,1.0,1
1,0,0,1,1,0,1,0,0,1,0,8.568266461600238,4.9344739331306915,1.0,1
0,1,0,1,0,1,1,0,1,0,0,8.94715577112479,5.0238805208462765,0.0,0
1,0,1,0,1,0,0,1,0,1,0,8.916103530553727,4.867534450455582,1.0,1
0,1,1,0,1,0,1,0,0,1,0,8.527143522269405,4.770684624465665,1.0,1
0,1,0,1,1,0,1,0,1,0,0,9.587611745713565,5.220355825078324,1.0,1
1,0,0,1,1,0,1,0,0,1,0,8.60337088765729,5.0369526024136295,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.192016914536875,4.442651256490317,1.0,1
0,1,0,1,1,0,1,0,1,0,0,8.950273466557375,5.1647859739235145,1.0,0
1,0,1,0,1,0,1,0,0,0,1,9.250330020192342,5.556828061699537,1.0,1
0,1,0,1,1,0,1,0,1,0,0,9.0280988119824,5.19295685089021,1.0,1
1,0,1,0,1,0,1,0,0,1,0,8.334711621820917,3.784189633918261,1.0,1
1,0,1,0,1,0,1,0,0,1,0,9.316230747233615,4.919980925828125,0.0,1
0,1,0,1,1,0,1,0,0,1,0,7.9919305198524775,4.394449154672439,1.0,1
0,1,0,1,0,1,1,0,1,0,0,8.750524669117937,5.267858159063328,1.0,1
1,0,1,0,1,0,1,0,1,0,0,8.213923595622743,4.532599493153256,1.0,1
0,1,0,1,1,0,1,0,1,0,0,10.077566902136047,5.91350300563827,1.0,1
0,1,1,0,1,0,1,0,1,0,0,8.61341204915678,5.062595033026967,1.0,1
0,1,0,1,1,0,0,1,0,0,1,9.572410734431823,5.075173815233827,0.0,0
0,1,0,1,1,0,1,0,1,0,0,9.065198986306513,5.204006687076795,1.0,0
0,1,1,0,1,0,0,1,0,0,1,9.91175329695316,6.476972362889683,1.0,1
0,1,1,0,1,0,1,0,0,0,1,8.279697133877628,4.30406509320417,1.0,1
0,1,1,0,1,0,1,0,0,1,0,7.907651594711089,4.248495242049359,1.0,1
0,1,0,1,1,0,0,1,0,1,0,8.148734808937169,3.2188758248682006,1.0,1
0,1,1,0,1,0,1,0,0,1,0,8.49596955496461,4.624972813284271,1.0,1
0,1,0,1,1,0,1,0,0,1,0,9.371608519572305,5.66988092298052,1.0,0
1,0,0,1,1,0,1,0,1,0,0,8.430109084509125,4.430816798843313,1.0,0
0,1,0,1,1,0,0,1,0,0,1,8.827028068509152,4.477336814478207,1.0,1
0,1,1,0,1,0,1,0,0,1,0,9.61573881119536,5.488937726156687,0.0,0
0,1,0,1,0,1,1,0,1,0,0,8.635864721133736,4.859812404361672,1.0,0
0,1,0,1,1,0,1,0,1,0,0,8.871365005136852,5.220355825078324,1.0,0
0,1,1,0,1,0,1,0,0,0,1,8.597297435657898,5.123963979403259,1.0,1
0,1,1,0,1,0,0,1,0,1,0,8.846496938558838,5.1647859739235145,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.462103225098277,4.804021044733257,1.0,1
0,1,0,1,1,0,1,0,0,0,1,9.372204086867741,5.231108616854587,1.0,1
1,0,0,1,1,0,1,0,0,1,0,8.827028068509152,4.605170185988092,1.0,1
1,0,0,1,1,0,1,0,0,0,1,9.60683200528524,4.248495242049359,1.0,1
0,1,0,1,1,0,1,0,0,0,1,7.993957547573565,3.4011973816621555,1.0,1
1,0,1,0,1,0,1,0,1,0,0,9.364433907313582,5.41610040220442,1.0,0
0,1,0,1,1,0,1,0,0,1,0,8.646465527120377,4.8283137373023015,1.0,1
0,1,1,0,1,0,1,0,1,0,0,8.744647438317532,4.770684624465665,0.0,0
0,1,0,1,1,0,0,1,1,0,0,8.752581469146884,5.0238805208462765,1.0,1
0,1,1,0,1,0,1,0,0,0,1,9.123256265069069,5.497168225293202,1.0,0
0,1,0,1,0,1,1,0,1,0,0,7.732369222284388,4.727387818712341,1.0,0
0,1,1,0,1,0,1,0,0,0,1,8.087640287778983,3.912023005428146,1.0,1
0,1,0,1,1,0,1,0,0,1,0,10.596609732783568,6.396929655216146,0.0,1
0,1,0,1,1,0,1,0,1,0,0,8.699514748210191,5.075173815233827,1.0,1
0,1,0,1,1,0,1,0,0,0,1,9.16303909885817,5.231108616854587,1.0,1
0,1,1,0,1,0,1,0,1,0,0,8.529714471969909,4.787491742782046,1.0,1
0,1,0,1,1,0,1,0,0,1,0,9.23092700558457,5.541263545158426,1.0,1
0,1,0,1,0,1,1,0,0,1,0,7.973844375944687,4.584967478670572,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.978786553302003,5.616771097666572,1.0,0
0,1,0,1,1,0,1,0,0,1,0,8.382289428951436,4.795790545596741,0.0,0
0,1,0,1,1,0,1,0,1,0,0,8.633018756921828,5.062595033026967,1.0,1
0,1,0,1,1,0,1,0,0,0,1,9.140239744296693,4.31748811353631,1.0,1
0,1,0,1,1,0,1,0,1,0,0,8.835355971121606,5.204006687076795,1.0,1
1,0,0,1,1,0,1,0,1,0,0,8.430109084509125,4.718498871295094,1.0,0
0,1,0,1,1,0,1,0,1,0,0,8.660773919893762,4.859812404361672,1.0,1
0,1,1,0,1,0,1,0,0,1,0,7.71289096149013,4.143134726391533,0.0,0
0,1,0,1,1,0,1,0,0,1,0,8.987196820661973,5.298317366548036,1.0,1
0,1,0,1,0,1,1,0,1,0,0,8.185628891147607,4.553876891600541,1.0,1
0,1,0,1,1,0,1,0,0,0,1,10.854430887309706,6.551080335043404,1.0,1
0,1,0,1,0,1,1,0,1,0,0,8.166784289056151,4.394449154672439,1.0,0
0,1,0,1,1,0,1,0,0,1,0,9.335474102732949,5.231108616854587,1.0,1
0,1,0,1,0,1,0,1,0,1,0,8.533066540572527,4.465908118654584,1.0,0
0,1,0,1,1,0,1,0,1,0,0,8.605387202152153,4.7535901911063645,1.0,1
0,1,0,1,1,0,1,0,1,0,0,8.20631072579402,4.61512051684126,1.0,1
0,1,0,1,1,0,1,0,0,1,0,9.730086093116732,6.20455776256869,0.0,0
0,1,0,1,1,0,1,0,0,1,0,8.229511118964457,4.7535901911063645,1.0,1
0,1,1,0,0,1,1,0,0,0,1,8.238536930171769,4.624972813284271,0.0,0
0,1,0,1,1,0,1,0,0,0,1,9.521494800613105,5.19295685089021,0.0,0
0,1,1,0,1,0,1,0,1,0,0,8.850660919017152,4.204692619390966,1.0,0
0,1,0,1,1,0,1,0,0,1,0,8.433811582477187,4.290459441148391,1.0,1
0,1,0,1,1,0,1,0,0,1,0,10.429576102968031,5.560681631015528,1.0,0
1,0,0,1,1,0,1,0,0,1,0,8.195609567288775,4.68213122712422,1.0,1
0,1,0,1,1,0,0,1,0,1,0,10.689601259598334,4.787491742782046,1.0,1
0,1,0,1,1,0,0,1,1,0,0,7.686162303492906,4.189654742026425,0.0,0
0,1,0,1,1,0,1,0,1,0,0,8.416488487294606,4.060443010546419,1.0,1
0,1,0,1,1,0,0,1,1,0,0,8.694502206386648,5.123963979403259,1.0,1
0,1,0,1,1,0,1,0,1,0,0,9.140775908590273,5.236441962829949,1.0,1
0,1,1,0,0,1,1,0,1,0,0,8.493924564476883,3.871201010907891,1.0,1
0,1,1,0,1,0,1,0,0,1,0,9.392661928770137,5.099866427824199,1.0,0
0,1,0,1,0,1,1,0,0,0,1,8.704999678440762,5.075173815233827,1.0,0
0,1,1,0,1,0,1,0,0,1,0,8.257904193465674,4.330733340286331,1.0,1
0,1,1,0,1,0,1,0,1,0,0,8.340694647925071,4.787491742782046,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.649623978596727,5.135798437050262,1.0,0
0,1,1,0,1,0,1,0,1,0,0,9.399554785027307,5.231108616854587,1.0,1
1,0,1,0,0,1,1,0,0,0,1,8.35983738064003,4.787491742782046,1.0,1
1,0,0,1,1,0,1,0,0,1,0,8.737452587550584,4.727387818712341,1.0,1
0,1,1,0,1,0,0,1,0,0,1,9.305650551780507,4.418840607796598,1.0,0
0,1,0,1,0,1,1,0,0,1,0,8.536995818712418,4.499809670330265,1.0,1
0,1,1,0,1,0,1,0,0,1,0,8.5016733797582,5.111987788356544,0.0,1
0,1,0,1,0,1,1,0,0,0,1,8.292047637431354,4.787491742782046,1.0,0
0,1,0,1,0,1,1,0,0,0,1,8.430109084509125,4.90527477843843,1.0,1
0,1,0,1,0,1,1,0,0,1,0,8.27308133366583,4.820281565605037,1.0,1
1,0,1,0,0,1,1,0,0,1,0,8.391176350832751,4.787491742782046,1.0,1
1,0,1,0,1,0,1,0,0,0,1,8.084562415235304,4.382026634673881,1.0,1
0,1,1,0,0,1,1,0,1,0,0,8.780480107033297,4.007333185232471,1.0,1
0,1,1,0,1,0,1,0,0,0,1,7.8156105320351905,4.07753744390572,1.0,1
0,1,1,0,1,0,1,0,0,1,0,8.136810863675537,4.844187086458591,1.0,0
1,0,1,0,1,0,1,0,0,1,0,9.210340371976184,5.365976015021851,1.0,0
0,1,0,1,1,0,1,0,0,1,0,8.451053388911692,4.852030263919617,0.0,0
0,1,0,1,1,0,0,1,0,0,1,8.960210955576986,5.480638923341991,1.0,1
0,1,0,1,0,1,0,1,1,0,0,8.648747631156539,4.867534450455582,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.731336360533149,4.919980925828125,1.0,1
0,1,0,1,0,1,1,0,0,1,0,8.483222671845084,4.605170185988092,1.0,1
0,1,0,1,1,0,1,0,1,0,0,7.575584651557793,4.90527477843843,1.0,0
0,1,0,1,1,0,1,0,0,1,0,8.61286694148452,4.875197323201151,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.517193191416238,4.276666119016055,0.0,0
1,0,0,1,1,0,1,0,0,1,0,8.804775258867686,4.844187086458591,1.0,1
0,1,0,1,1,0,1,0,0,0,1,7.7057128238944275,4.0943445622221,0.0,0
0,1,0,1,1,0,1,0,0,1,0,8.65277248565806,4.7535901911063645,1.0,1
0,1,1,0,1,0,1,0,0,1,0,8.659039915644474,4.969813299576001,1.0,1
0,1,0,1,1,0,1,0,0,1,0,9.058121158998672,5.1647859739235145,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.740336742730447,4.852030263919617,1.0,1
0,1,0,1,1,0,1,0,1,0,0,8.086410275323782,5.135798437050262,1.0,0
0,1,0,1,0,1,0,1,0,0,1,8.462737005620179,4.927253685157205,1.0,0
0,1,0,1,1,0,1,0,0,1,0,8.980298078970817,5.3471075307174685,1.0,1
0,1,1,0,1,0,0,1,1,0,0,8.764053269347762,5.298317366548036,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.421783006611578,4.6443908991413725,1.0,1
0,1,0,1,1,0,1,0,1,0,0,8.22040309993373,3.7376696182833684,1.0,1
0,1,1,0,0,1,1,0,1,0,0,8.663369301573839,4.787491742782046,1.0,1
1,0,1,0,1,0,1,0,0,1,0,9.027978814382207,5.634789603169249,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.503905297089302,4.941642422609304,1.0,1
0,1,0,1,1,0,1,0,1,0,0,8.81877816903701,5.135798437050262,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.656259239539235,5.541263545158426,1.0,0
1,0,1,0,1,0,0,1,0,0,1,8.149890544402423,4.804021044733257,1.0,1
1,0,1,0,1,0,1,0,1,0,0,8.245909264774093,4.718498871295094,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.106212902619962,4.564348191467836,1.0,1
0,1,0,1,1,0,1,0,1,0,0,9.289059126687574,4.787491742782046,1.0,1
0,1,0,1,0,1,1,0,0,0,1,8.41027590907016,4.941642422609304,1.0,0
0,1,1,0,1,0,1,0,0,0,1,9.067162602299854,5.043425116919247,1.0,1
0,1,0,1,1,0,0,1,1,0,0,8.92930284224307,4.68213122712422,1.0,1
0,1,0,1,0,1,1,0,0,1,0,8.96482339168508,4.812184355372417,1.0,1
0,1,1,0,1,0,0,1,0,0,1,9.247925132303454,4.787491742782046,1.0,0
0,1,0,1,1,0,1,0,0,0,1,9.1801903950253,4.718498871295094,1.0,1
0,1,0,1,0,1,1,0,0,0,1,8.796036315200814,4.919980925828125,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.460622839927844,4.812184355372417,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.209852481301272,4.499809670330265,1.0,1
0,1,0,1,0,1,1,0,0,1,0,8.62299361030245,5.303304908059076,0.0,0
1,0,1,0,1,0,1,0,0,0,1,8.139440521874608,4.927253685157205,1.0,0
0,1,1,0,0,1,0,1,1,0,0,8.465899897028686,4.6443908991413725,1.0,1
0,1,0,1,0,1,1,0,0,1,0,9.186252576447092,5.631211781821365,1.0,1
0,1,1,0,1,0,0,1,0,0,1,9.695848187757884,5.2574953720277815,0.0,0
1,0,1,0,1,0,1,0,1,0,0,8.03365842788615,5.541263545158426,1.0,1
0,1,1,0,0,1,1,0,1,0,0,8.706986763048892,4.74493212836325,0.0,0
0,1,0,1,1,0,1,0,0,0,1,8.565983355585669,4.543294782270004,1.0,0
0,1,0,1,1,0,1,0,1,0,0,9.72812174830818,5.717027701406222,1.0,0
0,1,0,1,0,1,1,0,0,1,0,8.503297086224126,4.852030263919617,1.0,0
0,1,0,1,1,0,1,0,0,0,1,9.243097936214355,5.799092654460526,1.0,1
0,1,1,0,1,0,1,0,0,1,0,8.359134886757962,4.897839799950911,1.0,1
1,0,1,0,1,0,1,0,0,1,0,8.15507488781144,5.043425116919247,1.0,0
1,0,1,0,1,0,1,0,1,0,0,8.881836305004146,4.787491742782046,1.0,1
0,1,1,0,1,0,0,1,0,1,0,8.549853973655786,4.852030263919617,1.0,1
0,1,1,0,1,0,1,0,1,0,0,8.928242677818302,5.017279836814924,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.715224041915372,5.0106352940962555,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.723231274827508,5.075173815233827,0.0,1
1,0,1,0,1,0,1,0,1,0,0,8.136810863675537,4.90527477843843,1.0,0
1,0,1,0,1,0,1,0,0,0,1,8.397508348470257,4.499809670330265,1.0,1
1,0,1,0,1,0,1,0,0,0,1,8.082402253926244,3.4011973816621555,1.0,1
0,1,0,1,1,0,1,0,0,0,1,9.318835968129482,4.912654885736052,1.0,1
0,1,1,0,1,0,1,0,1,0,0,8.453187861440325,4.836281906951478,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.48528964240323,5.0106352940962555,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.268731832117737,4.499809670330265,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.432070937999402,4.74493212836325,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.891098830616636,5.332718793265369,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.390041405755754,4.382026634673881,1.0,1
0,1,0,1,1,0,1,0,0,1,0,9.587611745713565,6.077642243349034,1.0,1
1,0,0,1,0,1,1,0,1,0,0,8.318742252692399,4.820281565605037,1.0,1
0,1,1,0,0,1,0,1,0,0,1,8.776321456449958,5.062595033026967,0.0,0
0,1,0,1,1,0,1,0,0,1,0,8.461046030793236,4.718498871295094,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.097669722345216,4.356708826689592,1.0,1
1,0,1,0,1,0,1,0,0,0,1,8.153925132007862,3.9889840465642745,1.0,1
0,1,0,1,1,0,1,0,1,0,0,9.936293504261306,5.062595033026967,1.0,0
0,1,1,0,1,0,1,0,1,0,0,8.734077192559303,4.48863636973214,1.0,1
1,0,1,0,1,0,0,1,0,1,0,8.370315995555478,4.59511985013459,1.0,0
0,1,0,1,1,0,1,0,1,0,0,8.648922962094131,4.787491742782046,1.0,1
1,0,1,0,1,0,1,0,0,1,0,8.32457884513685,4.74493212836325,1.0,1
0,1,1,0,1,0,1,0,1,0,0,9.159888828480085,5.231108616854587,1.0,1
0,1,0,1,1,0,1,0,1,0,0,8.610865667278873,4.9344739331306915,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.389359819906353,4.844187086458591,0.0,0
0,1,0,1,1,0,1,0,0,0,1,8.45807992692373,4.897839799950911,1.0,1
1,0,1,0,1,0,1,0,0,0,1,8.597297435657898,4.962844630259907,0.0,0
0,1,0,1,1,0,1,0,0,1,0,8.651199471263972,5.147494476813453,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.642238680390461,4.700480365792417,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.835646922534773,5.298317366548036,1.0,1
1,0,0,1,1,0,1,0,0,0,1,8.448057452581375,4.90527477843843,1.0,1
1,0,1,0,1,0,1,0,1,0,0,8.928110078202646,5.017279836814924,1.0,0
0,1,0,1,1,0,1,0,0,0,1,8.504918160540624,4.727387818712341,1.0,0
0,1,0,1,0,1,1,0,0,0,1,8.46252579007393,4.532599493153256,0.0,0
0,1,0,1,0,1,1,0,0,1,0,8.439231649946526,4.653960350157523,1.0,1
1,0,1,0,1,0,1,0,1,0,0,8.517193191416238,4.882801922586371,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.13973227971767,4.564348191467836,1.0,1
0,1,1,0,1,0,1,0,1,0,0,8.779557455883728,4.941642422609304,1.0,1
0,1,1,0,0,1,1,0,0,0,1,7.600902459542082,4.787491742782046,1.0,0
1,0,1,0,1,0,1,0,1,0,0,8.59932602095476,4.90527477843843,1.0,1
1,0,1,0,1,0,1,0,0,0,1,8.35772841676521,4.6443908991413725,0.0,0
0,1,1,0,1,0,1,0,1,0,0,9.915070213779195,6.173786103901937,1.0,0
0,1,0,1,0,1,1,0,1,0,0,8.944680683558895,5.220355825078324,1.0,1
1,0,1,0,1,0,1,0,0,1,0,7.978310969867722,4.430816798843313,1.0,1
0,1,1,0,0,1,1,0,0,1,0,8.5814816812986,4.709530201312334,1.0,1
1,0,1,0,1,0,1,0,1,0,0,7.826842098158293,4.02535169073515,1.0,1
